Parent Skel, Concatenation Offset, Imbedded Skel, Concatenated Offset,Line Number, Optional, No File Tailoring, Extended
CMN$$X54,2,CMN$$XCP,2,11,,,NOEXT
CMN$$X59,2,CMN$$XCP,2,5,,,NOEXT
CMN$$X65,2,CMN$$XCP,2,5,,,NOEXT
CMN00,1,CMN$$SPR,1,20,,,NOEXT
CMN00INS,1,CMN$$SPR,1,15,,,NOEXT
CMN10,1,CMN$$JNM,1,1,,,NOEXT
CMN10,1,SKM$$VAR,1,65,,,NOEXT
CMN10,1,CMN$$BDT,2,70,,,NOEXT
CMN10,1,SKICDCPY,1,169,,,NOEXT
CMN10,1,CMN$$NDM,1,200,,,NOEXT
CMN10,1,CMN$$ENQ,1,240,,,NOEXT
CMN10,1,CMN$$ENQ,1,255,,,NOEXT
CMN10,1,CMN$$ENQ,1,297,,,NOEXT
CMN10,1,CMN$$ENQ,1,320,,,NOEXT
CMN10,1,CMN$$ENQ,1,349,,,NOEXT
CMN10,1,CMN$$X10,2,363,,,NOEXT
CMN10,1,CMN$$F10,2,366,,,NOEXT
CMN10,1,CMN$$N10,2,369,,,NOEXT
CMN10,1,CMN00INS,1,447,,,NOEXT
CMN10,1,CMN$$X11,2,462,,,NOEXT
CMN10,1,CMN$$F11,2,465,,,NOEXT
CMN10,1,CMN$$N11,1,468,,,NOEXT
CMN10,1,CMN99INS,1,470,,,NOEXT
CMN10,1,SKI10EQ,1,472,,,NOEXT
CMN10,1,SKM$$VAR,1,474,,,NOEXT
CMN11,1,CMN$$SJN,1,1,,,NOEXT
CMN11,1,CMNJSPRD,1,47,,,NOEXT
CMN11,1,SKM$$IDL,1,50,,,NOEXT
CMN11,1,SKMIDLIR,1,51,,,NOEXT
CMN11,1,CMNJSPRD,1,63,,,NOEXT
CMN11,1,SKM$$IDL,1,66,,,NOEXT
CMN11,1,SKMIDLGW,1,67,,,NOEXT
CMN11,1,CMNJSPRD,1,134,,,NOEXT
CMN11,1,CMNJSPRD,1,219,,,NOEXT
CMN11,1,CMNINIGN,1,247,,,NOEXT
CMN11,1,CMNINIGN,1,250,,,NOEXT
CMN11,1,CMNINIGN,1,253,,,NOEXT
CMN11,1,CMNJSPRD,1,295,,,NOEXT
CMN11,1,SKIINACK,1,302,,,NOEXT
CMN11,1,CMNINACB,1,305,,,NOEXT
CMN11,1,CMN00INS,1,326,,,NOEXT
CMN11,1,CMN99INS,1,350,,,NOEXT
CMN11,1,SKI11EQ,1,397,,,NOEXT
CMN14,1,CMN$$SJN,1,1,,,NOEXT
CMN14,1,CMN$$PND,1,8,,,NOEXT
CMN14,1,CMN$$X15,2,22,,,NOEXT
CMN14,1,CMN$$F15,2,25,,,NOEXT
CMN14,1,CMN$$N15,2,28,,,NOEXT
CMN14,1,SKCDMEMO,1,30,,,NOEXT
CMN14,1,CMN99INS,1,31,,,NOEXT
CMN14,1,CMN$$PCP,1,33,,,NOEXT
CMN15,1,CMN$$JNM,1,1,,,NOEXT
CMN15,1,CMN00INS,1,35,,,NOEXT
CMN15,1,CMN99INS,1,38,,,NOEXT
CMN17,1,CMN$$SJN,1,1,,,NOEXT
CMN17,1,CAS$$017,1,48,,,NOEXT
CMN17,1,CMN$$CAS,2,52,,,NOEXT
CMN17,1,CMN$$ESP,2,55,,,NOEXT
CMN17,1,CMN$$JBT,2,58,,,NOEXT
CMN17,1,CMN$$CTM,2,61,,,NOEXT
CMN17,1,CMN99INS,1,63,,,NOEXT
CMN17,1,CMN$$PCP,1,65,,,NOEXT
CMN18,1,CMN$$SJN,1,1,,,NOEXT
CMN18,1,CMN$$BDT,2,7,,,NOEXT
CMN18,1,CMN$$PND,1,10,,,NOEXT
CMN18,1,CMN$$X19,2,24,,,NOEXT
CMN18,1,CMN$$F19,2,27,,,NOEXT
