Skeleton,Program,Line Number
CMN49,IKJEFT1A,304
CMN49,IDCAMS,333
CMN50I,IKJEFT01,11
CMN50I,CMNDELRN,77
CMN50I,IEBCOPY,95
CMN50I,SERCOPY,98
CMN50I,CMNDELRN,144
CMN50I,IEBCOPY,161
CMN50I,CMNDELRN,183
CMN50I,IEBCOPY,200
CMN50I,CMNDELRN,225
CMN50I,CMNDELRN,240
CMN50I,CMNDELRN,250
CMN50I,SY7660,301
CMN50I,IEBGENER,307
CMN50I,ES0010,358
CMN50T,CMNDELRN,13
CMN50T,CMNDELRN,32
CMN50TI,CMNDELRN,13
CMN50TI,CMNDELRN,28
CMN55,IEBGENER,17
CMN55,IEBGENER,31
CMN55,PAN#1,45
CMN55,PAN#2,50
CMN55,IEBGENER,59
CMN55,PAN#1,74
CMN55,IEBGENER,85
CMN55,PAN#2,102
CMN55,PAN#1,110
CMN55,IEBGENER,122
CMN55,IEBGENER,137
CMN55,IEBGENER,152
CMN55,IEBGENER,165
CMN55,CMNDELRN,184
CMN55,CMNDELRN,191
CMN55,CMNUPDAT,203
CMN55,IEBGENER,235
CMN55,AFOLIBR,251
CMN55,IEBGENER,264
CMN55,AFOLIBR,280
CMN55,CMNDELRN,301
CMN55,IEBCOPY,358
CMN55,CMNUNLOD,374
CMN55,CMNDELTA,380
CMN55,IEBGENER,400
CMN55,AFOLIBR,413
CMN55,IEBGENER,423
CMN55,AFOLIBR,436
CMN55,AFOLIBR,444
CMN55,IEBGENER,457
CMN55,AFOLIBR,470
CMN55,CMNDB2TM,488
CMN55,CMNBATCH,503
CMN55CDT,IEBGENER,22
CMN55CDT,IEBGENER,42
CMN55CDT,IEBCOPY,75
CMN55CDT,SERCOPY,78
CMN55CDT,CMNUNLOD,98
CMN55CDT,CMNDELTA,104
CMN55CPI,IEBCOPY,6
CMN55CPI,SERCOPY,9
CMN55CPY,IEBCOPY,5
CMN55I,CMNDB2TM,66
CMN55I,CMNBATCH,81
CMN55LIB,IEBGENER,26
CMN55LIB,IEBGENER,39
CMN55LIB,IEBGENER,55
CMN55LIB,AFOLIBR,68
CMN55LIB,IEBGENER,78
CMN55LIB,AFOLIBR,91
CMN55LIB,AFOLIBR,99
CMN55LIB,IEBGENER,112
CMN55LIB,AFOLIBR,125
CMN55LIB,IEBGENER,156
CMN55LIB,AFOLIBR,172
CMN55LIB,IEBGENER,185
CMN55LIB,AFOLIBR,201
CMN55PAN,IEBGENER,9
